w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
palace,pælis,palais,palacio,"महल, Raj Vilas palace has more than hundred rooms., राज विलास महल में सौ से भी अधिक कमरे हैं.",,宮殿,palatsi,"дворе́ц, дворец",palass,,,palác,palas,,,"dvorac, dvorca, dvorcem, dvorom, palaca, palača, palače, palači, palačom, palaču","elôkelô mozi, luxusszálló, érseki rezidencia, királyi rezidencia, királyi palota, palota, püspöki rezidencia, fényûzôen berendezett tágas szórakozóhely",palazzo,"atrium, palatium, turris","rūmai, rūmas, puošnus namas, (aukšto dvasiškio, monarcho) oficiali rezidencija",paleis,,palácio,,,,palats,,"saray, saray gibi bina, muhteşem ev, (k. dili) lüks eğlence yeri veya galeri.",
pale,peil,pâle,pálido,"बाड़ा, खूँटा, घेरा, They have made a pale with barbed wire., उन्होंने काँटेदार तार से बाड़ा बनाया है.",,青ざめた,"kalpea, kalvakka, kelmeä, vaalea",блед,"blek, bleik",,,vybledlý,,,,"bez sjaja, blijed, blijedjeti, kolac, mutan, ograda, problijedjeti, slab","sápadt, cövek, deszkakerítés, hegyes léc, kerítés, határ, halovány, karó, cölöp, színtelen, körülhatárolt hely, pelyvapikkely, léckerítés, palánk, halvány, terület, palánkkerítés, bekerített hely, hatáskör, fakó",pallido,,"(tvoros) statinis, užtvara, riba, išblyškęs, blankus (apie spalvą), silpna (šviesa), (iš)balti, išblykšti","verbleekt, bleek, flets, pips, vaal",,"descorado, pálido",,бледный,,glåmig,,"sivri uçlu kazık, parmaklık çubuğu, etrafı parmaklık veya çitle çevrilmiş yer, belirli kimselerin oturmasına tahsis edilmiş mıntıka, hudut, sınır, yetki, sınırlandırılmış herhangi bir şey. beyond the pale yetkisi dışında, salâhiyeti haricinde, toplum düzenine aykırı. within the pale sınırı içinde, yetkisi dahilinde.",
pan 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panel,pænl,"lambris, panneau",,"फलक, The door with painted panels looks beautiful., भाग, There are lace panels on all corners of my night suit., पैनल, Due to the defect in control panel , the aircraft has to land in midway., दल, The panel of judges in SC sat down to solve the case of Jaisika Lal.",,パネル,"lautakunta, paneeli, raati, paneeli, ruutu","панел, плот",,panel,,grémium,panel,,,"drvena oplata, foto snimak, panel, spisak porotnik, uokvirena daska","esküdtnévsor, dúsított érchalom, bevetôdeszka, vádlottak, szárnyburkolatmezô, faborítás, sávdísz, melegágy-tábla, esküdtek névjegyzéke, faburkolat, falmezô, padlómezô, hátrész, hosszúkás alakú fénykép, bordaköz, kapcsolótábla-mezô, bizottság, munkaközösség, jelzô szövetsáv, ablaktábla, nyereglap, orvosok körzeti jegyzéke, keretmezô, esküdtszék, nyeregpárna, fanyereg, mûszertábla, vádlott, kiemelt szedési mezô, fejtési mezô, kerítésmezô, panel, léggömbburok-mezô, mennyezetmezô, szigetelôlemez, ajtótábla, fórum, vasalódeszka, fatábla, mûszerfal, szerelékfal, esküdtek lajstroma, könyvtábla-mezô, hídmezô, tábla",,,,"beschot, dashboard, instrumentenbord, paneel, wagenschot",,painel,panou,,,,,"kapı aynalık tahtası, kapı aynası, kadın etekliğini genişletmek için uzunluğuna konan kumaş parçası, üzerine resim yapılan ince tahta, pano, duvar panosu, semerin altına konan keçe, belleme, (huk.) jüri heyetinin isim listesi, (huk.) jüri heyeti. panel discussion açık oturum.",
pants,pænts,pantalon,pantalón,"पतलून, I always prefer to wear pants rather than jeans.",,"ズボン, パンツ, 下穿き","housut, alushousut, pikkuhousut","га́щи, пантало́н, пантало́ни, га́щи","bukse, brok",,,kalhoty,,,"bríste, treabhsar, truís","gaće, hlače, muške gaće","alsónadrág, bugyi, nadrág","calzoni, pantaloni",bracæ,"(amer.) kelnės, (Angl.) apatinės kelnės","broek, lange broek, pantalon",,calças,,брюки,,"benkläder, byx, byxa, byxor",,"(çoğ.), (A.B.D.) pantolon, don, külot.",
paper,peipər,"document, papier, tapisser","documento, papel, tapizar","कागज़, Paper is the need of student's life., The bedroom decorated with beautiful wall papers is always of my choice., दस्तावेज़, Papers of secret matters must be kept in secret places., प्रश्नपत्र, The solved sample papers are now the need of students., लेख, He has given a good paper in the conference.",,"製紙, 紙","paperi, paperinen",слагам тапети,"papir, ark, artikkel, papir",papir,,publikace,papuro,,páipéar,"dokumenti, mjenice, novine, obložiti, papir, papira, papirna, papirnati, papiru, presvući papirom, presvući tapetama, rad, tapecirati, časopis","papír, dolgozat, újság","documento, carta, tappezzare","biblus, charta, papyrus","popierius, laikraštis, dokumentai","akte, bescheid, document, papier, schriftuur, stuk, behangen",,"documento, papel",,бумага,хартија,tapetserare,,"üzerine kâğıt kaplamak, kâğıtlamak, kâğıt. yapıştırmak.","beskeid, dokument"
parallel,pærəlel,parallèle,paralelo,"समानांतर, Draw parallel lines,.",,平行,leveyspiiri,"паралелен, парале́лен, успореден",parallell,,,obdoba,cyfochrog,,,"analogija, paralela, paralelan, paralelna, paralelni, paralelno, podudaranje, poklapanje, usporedan, usporedna crta, usporednica, usporednik","hasonló, szélességi kör, párhuzamos vonal, vminek a párja, párhuzamos, párja vminek, megfelelô, párhuzam, hasonlóság",parallelo,,,"evenwĳdig, parallel",,paralelo,,,,parallel,,"paralel olarak koymak, kıyaslamak, mukayese etmek, benzer olmak, müşabih olmak.",
parent,/ˈpæɹ.ənt/,,,"माँ बाप, Martina and  Gorge have recently become parent.",,"親, 保護者, 養父母","vanhempi, vanhempi, ottovanhempi, syntyperä",отглеждам,,,,zdroj,rhianta,,,"izvor, izvorni, mati, osnovni, otac, porijeklo, predak, prethodni, roditelj","ôs, kútfô, eredet, kezdet, ok, anya, alapító, forrás, apa, szülô",,parens,,ouder,,pai,,,,,,"anne veya baba, ata, cet, sebep olan şey, kaynak, memba, koruyucu kimse, hami olan kimse, (çoğ.) ana baba, ebeveyn. parent teachers' association okul aile birliği. parentage  analık ve baballk hali, soy, nesep nesil. parental  ana babaya ait. parentally  ana babaya yakışır şekilde. parenthood  analık veya babalık hali.",ouer
park,pɑːk,"garer, stationner, parc",parque,"उद्यान, There is a big park in our colony.",,"停まる, 駐車","kansallispuisto, luonnonpuisto, puisto, viheralue","резерват, парк",parkere,,,park,parco,,,"ograditi, ostaviti auto, park, parka, parkom, parku, perivoj, sakupiti, veliki vrt, visoravan, zasađivati","telephely, katonai anyagraktár, parkolóhely, dísztér, park, vadaskert",,hortus,"parkas, draustinis, aut. stovėjimo vieta, amer. aukštikalnių slėnis, užveisti parką, aptverti sklypą (parkui), (pa)statyti automobilį ir pan. (ilgesniam laikui), (šnek.) padėti, prikrauti (ir palikti) (ypač ne vietoje), (šnek.) įsitaisyti (kėdėje ir pan.)","parkeren, park, plantsoen, warande",,"parque, estacionamento, estacionar",,,парк,park,,"park, umumi bahçe, (ask.) ordu mühimmatının biriktirildiği yer, lunapark, vahşi hayvanlar için çitle ayrılmış geniş saha, arabayı park etmek: (A.B.D.), (argo) koymak, bir araya biriktirmek, park içine koymak. parking lot araba park yeri. parking meter araba park yerlerinde para toplayan sayaç.",parkeer
parliament,pɑːləmənt,parlement,,"संसद, Ashok is a member of parliament.",,"議会, 国会, 議院","parlamentti, eduskunta, valtiopäivät","парламе́нт, парламент",parlament,,,sněm,senedd,,,"parlament, sabor, saboru, skupština","parlament, országgyûlés",,,,"parlement, volksvertegenwoordiging",,parlamento,,парламент,,parlament,,"Parlamento, ingiltere Millet Meclisi, (k. h.) resmi meclis. parliamentar'ian  parlamento usullerini bilen kimse, parlamenter. parliamen'tary  parlamentoya ait. parliamentary procedure parlamento usulleri.",
part,pɑːt,"part, partie, contingent, portion, rôle","ingrediente, parte, pieza","भाग, I took part in the chess competition., सदय, We think of you as part of our family., किरदार, I was given the part of Shri Rama in the play., वास्ते, Please give me the property on part of my brother.",,"部分, 一部, 髪の分け目, 役, 役割, 役柄, パート, 其の, 章, 節, 部","annos, osapuoli, puoli, osa, osa, osajoukko, osasto, jakaus, asema, osa, rooli, sali, alue, osuus","задължение, страна, част, път, партия, роля, раздел, местност, дял","del, rolle",,,díl,rhan,,,"dijela, dijeliti se, dijelom, dijelu, dio, dio tijela, komad, kraj, objekta, otići, otputovati, produkt, rastati, rastati se, razdvojiti, udio, uloga","füzet, országrész, szerep, alkatrész, táj, tag, oldal, részvétel, kötetrész, rész, szerves alkatrész, feladat, alkotórész, töredék, darab, szólam, részben, dolog, kötelesség, tájék, párt, vidék, választék (hajban)","ingrediente, parte, porzione",pars,"dalis, vietovė, rajonas, kūno dalis, organas, dalyvavimas, pusė, vaidmuo, rolė, dalyti(s), atskirti","bestanddeel, ingrediënt, component, deel, gedeelte, onderdeel, Part, stuk, rol",,"parte, papel, parcela, quinhão",,,,"andel, del, part, roll",,"(kıs.) participle, particular.","aandeel, deel, gedeelte, stuk, rol"
particular,pətikjulər,"particulier, spécial","aparte, particular, separado, especial","विशिष्ट, I am very particular about my studies.",,,"yksilö, partikulaari, yksityiskohta","обстоятелствен, подробен, специа́лен, индивидуален, личен, характерен, особен, специфичен",bestemt,,,určitý,neilltuol,,,"detalj, iscrpan, iscrpan izvještaj, konkretan, naročit, određen, osobit, osobite, osobito, podatak, pojedini, pojedinim, pojedinost, poseban, posebice, posebno, posebnu, razmažen, specifičan, specifično, temeljan","bizonyos, részleges, részletes, részbeli, szokatlan, részlet, különleges, egyéni, pontos, különös","separato, speciale",,"tam tikras, būtent tas, konkretus, ypatingas, savotiškas, skirtingas, individualus, atskiras, smulkmeniškas, detalus, reiklus, išrankus (valgiui, kadrams ir pan.), detalė, smulkmena, detali ataskaita/informacija","afgezonderd, afzonderlĳk, bĳzonder, los, speciaal",,"avulso, especial, isolado, particular, peculiar, reservado, extraordinário, próprio",,,,"särskild, speciell",,"belirli, muayyen, özel, hususi, has, mahsus, her bir, zata mahsus, şahsi, dikkate lâyık, titiz, meraklı, dikkatli, ayrıntılı, teferruatlı, etraflı, (huk.) ferdi, mahalli, kısmi, madde, tafsilâtın bir maddesi, husus, (çoğ.) ayrıntılar, tafsilât. in particular özellikle, bilhassa. particular'ity  hususiyet, titizlik. particularly  özellikle, bilhassa, hususi surette, ayrıntılı olarak.","afsonderlik, afsydig, apart, spesiaal"
particularly,pətikjuləliː,"particulièrement, spécialement, surtout",,,,,erityisen,"особено, специално",,,,zvlášť,,,,"naime, napose, naročito, osobito, posebice, posebno, potanko, veoma, vrlo","kiváltképpen, különösen, fôleg",,,"ypač, ypatingai, labai, individualiai, atskirai/skyrium imant, detaliai, smulkiai","in het bĳzonder, inzonderheid, speciaal, vooral",,particularmente,,,,,,,
partly,pɑːtliː,en partie,enparte,,,"一部, 部分的に",osittain,"частично, отчасти",,,,zčásti,,,,"dijelom, djelomično, donekle",részben,"in parte, parzialmente",,,"deels, ten dele",,em parte,,,,,,"kısmen, kısmi, bir dereceye kadar.","deels, gedeeltelik"
partner,/ˈpɐːtnɘ/,,,"साझीदार, I made him my business partner so as to handle it properly., साथी, He was my partner in tennis tournament.",,"パートナー, 相棒, パートナー, 仲間, 伴侶, 伴侶, 恋人","kumppani, yhtiömies, tanssipari, pari, partneri, pari, kumppani, partneri, yhteistyökumppani, kumppani, avomies, partneri, puoliso","партньо́р, партньо́рка, партньо́р, партньо́рка, съдру́жник, съдру́жничка, партньо́р, партньо́рка, съпру́г, съпру́га",,,,družka,partner,,,"drug, kompanjon, muž, ortak, partner, partnera, partnerom, suradnik, suvlasnik, učesnica, učesnik, vezati se, združiti se","részes, társ, üzlettárs, partner, táncpartner",,,,"associé, lid, vennoot",,"parceiro, sócio, associado",,,,,,"ortak, şerik, arkadaş, karı veya koca, eş, dans arkadaşı, ortak etmek veya olmak, ortağı gibi davranmak. partnership  ortaklık, şirket.",
partnership,/ˈpɑɹtnɚʃɪp/,,,,,"パートナーシップ, 協力関係","henkilöyhtiö, kumppanuus","партньо́рство, партньо́рство, съдру́жие",,,,partnerství,partneriaeth,,,"javno trgovačko društvo, ortakluk, partnerstvo, partnerstvu","társas viszony, kereskedelmi társaság, társulás",,,,,,,,,,,,,
party,pɑːtiː,"adhérents, parti, fête, suite","partido, fiesta","दल, जनसमूह, Party of that area was given maximum votes.",,"パーティー, コンパ, 会, 懇親会, 懇談会, 社交場",juhlia,забавлявам се,,,,"strana, účastník, spoluúčastník",parti,,,"društvo, fešta, grupa, jednakost, korisnik, partija, podjednaka, priredba, proslava, skup, strana, stranka, sudionik, tulum, udruženje, učesnik, zabava, čajanka","csapat, összejövetel, osztag, bûnrészes, gyülekezet, vendégség, alak, csoport, buli, pofa, brigád, különítmény, illetô, osztott, egyén, részes, párt, zsúr, fél, szóbanforgó személy, szerzôdô fél, társaság, parti, cinkostárs, ügyfél, pasas","partito, seguito, festa",festum,"partija, būrys, grupė, komanda, draugija, kompanija, pobūvis, pokylis, vakaras, vakarėlis, (teis.) šalis, partinis, partijos, pobūvių, vakarinis","aanhang, leden, avondje, feest, festiviteit, fuif, partĳ, stem, gevolg",,"grupo não organizado, celebração, festa, bandeira, facção, partida, partido",,,,"anhang, fest, kalas, part, parti",,"parti, ziyafet, toplantı, eğlence, siyasal parti, kurum, cemiyet, (ask.) birlik, (huk.) taraf, kontratı akdeden taraflardan her biri, iştirakçi, (k. dili) şahıs. party line birkaç abonenin birden. bağlandığı telefon hattı, komşu mülkleri birbirinden ayıran hudut çizgisi, parti siyaseti. party wall (huk.) ortak duvar.","aanhang, party"
pass,pɑːs,"permission, col, passer, donner, dépasser, doubler",recorrer,"गुज़रना, The street was so crowded that the traffic was unable to pass., Time has passed so quickly that we are surprised., हस्तांतरित करना, Read and pass on the newspaper., पार करना, Pass the shop and you will be in front of  the school., उत्तराधिकार में पाना, I have inherited my nature as it passed from my father to me., उत्तीर्ण होना, I don't know much psychology but I have to pass my exam., मंज़ूर होना, The bill should be passed in this session only., सहन करना, Her provocative remarks passed without comment.",,"許可証, 通行証, 突き, 小道, 山道, 細道, 事態, 段階","kulkulupa, lippu, passi, pisto, pyyhkäisy, sola, reitti, kulkulupa, asiaintila, tila",пропуск,passere,,,uplynout,pasio,,,"biti smatran za, dati, dešavati se, dodati, dodavanje, dodavati, klanac, mijenjati se, minuti, pasivnu, pasoš, položen ispit, položiti ispit, prijeći, probaviti, prolaz, prolaza, prolazi, prolaziti, propustiti, proći, prođete, prođi, proživjeti, radni korak, sprovesti, ulaznica, umirati, usvojiti","fogas, hengerüreg, hágó, mûvelet, levizsgázás, mûveletelem, engedély, áteresztô, áthaladás, hegyszoros, igazolvány, kézmozdulat, kaliber, passzolás, betûzés, füstjárat, átfutás, sikeres letétel (vizsgáé), átadás, szoros",passare,,"praėjimas, perėja, tarpeklis, leidimas praeiti, kontramarkė, (egzamino) išlaikymas, kamuolio perdavimas komandos draugui, pasas, praeiti, pravažiuoti, pravesti, išeiti, išnykti, paduoti (kamuolį), pasuoti, išlaikyti (egzaminą)","inhalen, verlof, vrĳaf, pas, bergpas, omkomen, overdrĳven, overgaan, vergaan, verlopen, verstrĳken, aangeven, aanreiken, doorbrengen, verdrĳven, langsgaan, passeren, voorbĳgaan, voorbĳlopen, voorbĳrĳden, voorbĳvaren, afdragen, overbrengen, overgeven, toereiken",,"passar, fazer passar, avaçar, alienar, transmitir, passe, licença",,,,"avlida, dö",,"üstünden, içinden veya yanından geçmek, geçirmek, gezdirmek, dolaştırmak, geçirmek (zaman), söz vermek, (huk.) hüküm vermek, intikal etmek, karar vermek, beyan etmek, söylemek (fikir), ileri gitmek, aşmak, boşaltmak, tahliye etmek, kabul ve tasdik etmek veya ettirmek, sınavda geçmek, ihmal etmek, (spor) pas vermek, paylaşmak, geçmek, mürur etmek (zaman), halden hale girmek, vaki olmak, elden ele dolaşmak, tedavül etmek, sürmek (para), kabul olunmak, başarmak, muvaffak olmak, bitmek, sona ermek, engelle karşılaşmamak, akıtmak, (briç) ""pas'' demek, sırasını atlatmak, hamle yapmak (eskrimde), devretmek. pass a dividend kâr hisselerini ödememek. pass away ölmek, sona ermek. pass beyond geçmek, üstün olmak. pass by yanından geçmek, geçip gitmek. pass for diye geçinmek. pass muster yoklamayı atlatmak, yeterli olmak, geçmek. pass off sona ermek, sürmek (sahte para), ...diye geçinmek, kendini ...diye satmak. pass on gecikmeyip gitmek, ölmek, başkasına vermek. pass out dışarı çıkmak: (k. dili) bayılmak, kendinden geçmek. pass over atlayıp geçmek, üstünden geçmek, öbür tarafa geçmek, görmemek, göz yummak. pass the buck sorumluluğu başkasının üzerine atmak. pass the hat yardım toplamak. pass the time of day selâmlaşmak. pass through içinden geçmek, nufuz etmek. pass up (k. dili) yararlanmamak, istifade etmemek, fırsatı kaçırmak. pass upon karar vermek.",sterf
