id,en,zh,py,vi,vi2
764,I dig songs and I like pop music very much.,我特别喜欢歌曲和流行音乐。,Wǒ tèbié xǐhuān gēqǔ hé liúxíng yīnyuè.,Tôi đặc biệt thích các bài hát và nhạc pop.,ta đặc biệt thích ca khúc và lưu hành âm nhạc .
765,I'd like to cash a traveler's check please.,我想兑换旅行支票。,Wǒ xiǎng duìhuàn lǚxíng zhīpiào.,Tôi muốn đổi séc du lịch.,ta nghĩ đổi séc du lịch .
766,I'd like to pick sea shells this afternoon.,今天下午我想去捡贝壳。,Jīntiān xiàwǔ wǒ xiǎng qù jiǎn bèiké.,Tôi muốn nhặt vỏ vào chiều nay.,xế chiều hôm nay ta muốn đi nhặt vỏ sò .
767,It's odd that they didn't reply our letter.,他们没有给我们回信，这真奇怪。,"Tāmen méiyǒu gěi wǒmen huíxìn, zhè zhēn qíguài.","Họ đã không trả lời chúng tôi, điều đó thật lạ.","bọn họ không có cho ta nhóm về tin , cái này chân kỳ quái ."
768,John seldom gets together with his friends.,约翰很少与朋友聚在一起。,Yuēhàn hěn shǎo yǔ péngyǒu jù zài yīqǐ.,John hiếm khi tập hợp với bạn bè.,John rất ít cùng bằng hữu tụ đang cùng nơi .
769,Many people have been out of work recently.,最近有许多人失业。,Zuìjìn yǒu xǔduō rén shīyè.,Nhiều người đã thất nghiệp gần đây.,gần đây có thật nhiều người thất nghiệp .
770,Please give my best regards to your family.,请代我向你们全家致以最诚挚的问候。,Qǐng dài wǒ xiàng nǐmen quánjiā zhì yǐ zuì chéngzhì de wènhòu.,Xin vui lòng cho những lời chào chân thành nhất cho gia đình bạn.,mời thay ta hướng cả nhà các ngươi gây nên dùng tối chân thành ân cần thăm hỏi .
771,Some people have compared books to friends.,有些人把书比作朋友。,Yǒuxiē rén bǎ shū bǐ zuò péngyǒu.,Một số người so sánh sách với bạn bè.,có ít người đem sách so sánh bằng hữu .
772,The bat together with the balls was stolen.,球拍和球全被偷了。,Qiúpāi hé qiú quán bèi tōule.,Các vợt và bóng đã bị đánh cắp.,vợt bóng bàn và bóng đều bị trộm .
773,The color of her dress suits her very well.,她衣服的颜色很适合她。,Tā yīfú de yánsè hěn shìhé tā.,Màu sắc quần áo của cô ấy rất phù hợp với cô ấy.,nàng quần áo màu sắc vô cùng thích hợp nàng .
774,The days get longer and the nights get shorter.,白天变长了，黑夜变短了。,"Báitiān biàn zhǎngle, hēiyè biàn duǎnle.",Nó trở nên dài hơn vào ban ngày và đêm ngắn hơn.,"ban ngày dài ra , đêm tối biến ngắn ."
775,The dress doesn't fit her. She is too thin.,这件衣服不适合她，她太瘦了。,"Zhè jiàn yīfú bùshìhé tā, tā tài shòule.","Chiếc váy này không phù hợp với cô ấy, cô ấy quá gầy.","cái này trang phục không thích hợp nàng , nàng quá gầy ."
776,The examination put a lot of stress on him.,那次考试给了他很大的压力。,Nà cì kǎoshì gěile tā hěn dà de yālì.,Bài kiểm tra đó đã được đặt lên rất nhiều áp lực.,lần kia khảo thí cho hắn rất lớn áp lực .
777,The mother sat the child at a little table.,母亲安排孩子坐到小桌旁。,Mǔqīn ānpái háizi zuò dào xiǎo zhuō páng.,Người mẹ sắp xếp cho đứa trẻ ngồi cạnh bàn nhỏ.,mẹ sắp đặt đứa nhỏ ngồi vào bàn nhỏ bên cạnh .
778,There is some difference between the twins.,这对双胞胎有点儿不一样。,Zhè duì shuāngbāotāi yǒudiǎn er bù yīyàng.,Điều này là một chút khác nhau đối với cặp song sinh.,đôi này song bào thai có chút không đồng nhất dạng .
779,They insisted on staying rather than going.,他们坚持留下来，而不愿意走,"Tāmen jiānchí liú xiàlái, ér bù yuànyì zǒu",Họ khăng khăng muốn ở lại và không muốn rời đi,"bọn họ kiên trì lưu lại đến , mà không muốn đi"
780,"Trust me, the game is really worth playing.",相信我，这游戏确实值得一玩。,"xiāngxìn wǒ, zhè yóuxì quèshí zhídé yī wán.","Hãy tin tôi, trò chơi này thực sự đáng chơi.","tin tưởng ta , trò chơi này quả thực đáng giá một chơi ."
781,"Unlike her friends, she never gave up hope.",与她的朋友的不同之处是，她从不放弃希望。,"Yǔ tā de péngyǒu de bùtóng zhī chùshì, tā cóng bù fàngqì xīwàng.",Sự khác biệt giữa những người bạn của cô là cô không bao giờ từ bỏ hy vọng.,"và nàng bằng hữu chỗ khác biệt là , nàng cũng không bỏ cuộc hy vọng ."
782,Well done! You are always doing a good job!,干得不错!你总是干得很出色!,Gàn dé bù cuò! Nǐ zǒng shì gān dé hěn chūsè!,Làm tốt! Bạn luôn luôn làm tốt!,làm được không tệ ! ngươi luôn luôn làm được vô cùng xuất sắc !
783,We're planning a tour to Italy this summer.,我们计划今年夏天到意大利去旅行。,Wǒmen jìhuà jīnnián xiàtiān dào yìdàlì qù lǚxíng.,Chúng tôi dự định đi du lịch đến Ý vào mùa hè này.,chúng ta kế hoạch năm nay mùa hè đến Italy đi lữ hành .
784,Were there any letters for me this morning?,今天早上有我的信吗?,Jīntiān zǎoshang yǒu wǒ de xìn ma?,Có thư của tôi sáng nay không?,buổi sáng hôm nay có ta tin không ?
785,Why isn't Mrs. Lee's cat catching the mice?,李太太的猫为何不在抓这些老鼠呢?,Lǐ tàitài de māo wèihé bùzài zhuā zhèxiē lǎoshǔ ne?,Tại sao con mèo của bà Li không bắt những con chuột này?,lí phu nhân mèo vì sao không tại bắt cái đám chuột này đâu ?
786,Your English is improving little by little.,你的英语正在渐渐提高。,Nǐ de yīngyǔ zhèngzài jiànjiàn tígāo.,Tiếng Anh của bạn đang tăng dần.,ngươi tiếng Anh đang dần dần đề cao .
787,Could you tell me where I can wash my hands?,请问洗手间怎么走?,Qǐngwèn xǐshǒujiān zěnme zǒu?,Làm thế nào để tôi đi vệ sinh?,xin hỏi toilet đi như thế nào ?
788,Do you have any plans for the long weekend?,你有办法打发这个漫长的周末吗?,Nǐ yǒu bànfǎ dǎfā zhège màncháng de zhōumò ma?,Bạn có cách nào để vượt qua cuối tuần dài này không?,ngươi có cách đuổi cái này dài dằng dặc cuối tuần không ?
789,He decided to bring a suit against his boss.,他决定起诉他的老板。,Tā juédìng qǐsù tā de lǎobǎn.,Anh quyết định kiện ông chủ của mình.,hắn quyết định khởi tố hắn ông chủ .
790,He devoted his life to the study of science.,他把毕生献给科学研究。,Tā bǎ bìshēng xiàn gěi kēxué yánjiū.,Ông dành cả cuộc đời của mình cho nghiên cứu khoa học.,hắn đem suốt đời hiến cho khoa học nghiên cứu .
791,He had to choose between death and dishonor.,他不得不在死亡和耻辱之间选择。,Tā bùdé bùzài sǐwáng hé chǐrǔ zhī jiān xuǎnzé.,Anh phải lựa chọn giữa cái chết và sự xấu hổ.,hắn không thể không đang tử vong và sỉ nhục trong lúc đó lựa chọn .
792,His previous attempts had been unsuccessful.,他以前的尝试没有成功。,Tā yǐqián de chángshì méiyǒu chénggōng.,Những nỗ lực trước đây của anh ấy đã thất bại.,hắn trước kia nếm thử không thành công .
793,I determined that nothing should be changed.,我决定什么都不改变。,Wǒ juédìng shénme dōu bù gǎibiàn.,Tôi quyết định không thay đổi bất cứ điều gì.,ta quyết định gì đều không thay đổi .
794,I don't think it will lead to a good result.,我认为这事不会有什么好结果。,Wǒ rènwéi zhè shì bù huì yǒu shén me hǎo jiéguǒ.,Tôi nghĩ rằng sẽ không có kết quả tốt.,ta nhận vì chuyện này không có kết quả gì tốt .
795,I have 4 books and 2 magazines to check out.,我有4本书和2本杂志要借。,Wǒ yǒu 4 běnshū hé 2 běn zázhì yào jí.,Tôi có 4 cuốn sách và 2 tạp chí để mượn.,ta có 4 quyển sách và 2 quyển tạp chí muốn mượn .
796,I think I've filled in everything correctly.,我想各项都填对了。,Wǒ xiǎng gè xiàng dōu tián duìle.,Tôi nghĩ rằng tất cả chúng đều đúng.,ta nghĩ các hạng đều lấp đúng rồi .
797,I'm not sure whether I have locked the door.,我没把握是否锁了门。,Wǒ méi bǎwò shìfǒu suǒle mén.,Tôi không chắc chắn nếu tôi khóa cửa.,ta không có nắm chắc có phải khóa cửa .
798,It took him a little time to fix that watch.,他很快就把表修理好了。,Tā hěn kuài jiù bǎ biǎo xiūlǐ hǎole.,Anh nhanh chóng sửa chữa cái bàn.,hắn rất nhanh liền đem biểu sửa chữa tốt .
799,My father is at home looking for the ticket.,我爸爸正在家里找票呢!,Wǒ bàba zhèngzài jiālǐ zhǎo piào ne!,Bố tôi đang tìm một vé ở nhà!,bố của ta đang ở nhà trong tìm phiếu đâu !
800,Not until last week did I get a work permit.,直到上周我才拿到工作许可证。,Zhídào shàng zhōu wǒ cái ná dào gōngzuò xǔkě zhèng.,Tôi đã không nhận được giấy phép làm việc cho đến tuần trước.,mãi đến khi đầu tuần ta mới cầm tới công việc giấy phép .
801,She intends to make teaching her profession.,她想以教书为职业。,Tā xiǎng yǐ jiāoshū wèi zhíyè.,Cô ấy muốn dạy như một nghề.,nàng muốn lấy dạy học là chức nghiệp .
802,"The letter ""x"" stands for an unknown number.",字母x代表未知数。,Zìmǔ x dàibiǎo wèizhīshù.,Các chữ x đại diện cho số chưa biết.,chữ cái x đại biểu ẩn số .
803,The sight of the dead body scared him stiff.,看到尸体把他吓僵了。,Kàn dào shītǐ bǎ tā xià jiāngle.,Thấy cơ thể sợ hãi anh.,nhìn thấy thi thể đem hắn hạ cứng .
804,There are lots of huge buildings in Beijing.,在北京有许多高大的建筑物。,Zài běijīng yǒu xǔduō gāodà de jiànzhú wù.,Có rất nhiều tòa nhà cao ở Bắc Kinh.,đang bắc kinh có thật nhiều cao lớn tòa nhà .
805,There is an interesting film on Channel one.,在一频道有一部有趣的电影。,Zài yī píndào yǒu yī bù yǒuqù de diànyǐng.,Có một bộ phim thú vị trên một kênh.,đang một kênh có một bộ thú vị phim chiếu rạp .
806,They plan to immigrate to Finland next year.,他们计划明年移居芬兰。,Tāmen jìhuà míngnián yíjū fēnlán.,Họ có kế hoạch chuyển đến Phần Lan vào năm tới.,bọn họ kế hoạch sang năm di cư phân lan .
807,We enjoyed driving along the new expressway.,我们喜欢沿着新建的高速公路开车。,Wǒmen xǐhuān yánzhe xīnjiàn de gāosù gōnglù kāichē.,Chúng tôi thích lái xe dọc theo đường cao tốc mới.,chúng ta thích dọc theo mới xây đường cao tốc lái xe .
808,We need to cooperate perfectly to win the game.,要想赢得比赛，我们需要密切配合。,"Yào xiǎng yíngdé bǐsài, wǒmen xūyào mìqiè pèihé.","Để giành chiến thắng trong trò chơi, chúng ta cần hợp tác chặt chẽ.","nếu muốn thắng hắn được tranh tài , chúng ta cần mật thiết phối hợp ."
809,We need more than listening. We need action!,我们需要的不光是听得进意见，我们要的是行动。,"Wǒmen xūyào de bùguāng shì tīng dé jìn yìjiàn, wǒmen yào de shì xíngdòng.","Những gì chúng ta cần là không chỉ để nghe ý kiến, mà chúng ta muốn hành động.","chúng ta cần không riêng gì nghe vào y thấy , chúng ta muốn là hành động ."
810,Yes. I wouldn't go home early if I were you.,是的，如果我是你，我不会早回家。,"Shì de, rúguǒ wǒ shì nǐ, wǒ bù huì zǎo huí jiā.","Vâng, nếu tôi là bạn, tôi sẽ không về nhà sớm.","đúng vậy , nếu như ta là ngươi , ta sẽ không về sớm cô ."
811,Your answer is satisfying. I feel satisfied.,你的答案是令人满意的。我感到很满意。,Nǐ de dá'àn shì lìng rén mǎnyì de. Wǒ gǎndào hěn mǎnyì.,Câu trả lời của bạn là thỏa đáng. Tôi rất hài lòng.,đáp án của ngươi là làm người thoả mãn . ta cảm thấy rất hài lòng .
812,Betty and Susan are talking on the telephone.,贝蒂和苏珊正在通电话。,Bèidì hé sū shān zhèngzài tōng diànhuà.,Betty và Susan đang gọi.,bối cuống và tô san đang thông điện thoại .
813,Great efforts ensure the success of our work.,巨大的努力确保了我们工作的成功。,Jùdà de nǔlì quèbǎole wǒmen gōngzuò de chénggōng.,Những nỗ lực lớn đảm bảo sự thành công của công việc của chúng tôi.,to lớn nỗ lực bảo đảm chúng ta công tác thành công .
814,He has tasted the sweets and bitters of life.,他已尝遍了人生的甜酸苦辣。,Tā yǐ cháng biànle rénshēng de tián suān kǔ là.,Anh ấy đã nếm thử sự ngọt ngào và chua chát của cuộc đời mình.,hắn đã nếm khắp nhân sinh ngọt chua khổ cay .
815,He said he was educated in the United States.,他说他是在美国受的教育。,Tā shuō tā shì zài měiguó shòu de jiàoyù.,Ông nói rằng ông được giáo dục ở Hoa Kỳ.,hắn nói hắn là đang Mỹ chịu giáo dục .
816,How do you like our English literature Prof.?,你觉得我们的英国文学课的教授怎么样?,Nǐ juédé wǒmen de yīngguó wénxué kè de jiàoshòu zěnme yàng?,Bạn nghĩ gì về giáo sư của khóa học văn học Anh của chúng tôi?,ngươi cảm thấy chúng ta nước Anh văn học môn học giáo sư thế nào ?
817,I am looking forward to your visit next week.,我期待着你下周来访。,Wǒ qídàizhuó nǐ xià zhōu láifǎng.,Tôi mong chờ chuyến thăm của bạn vào tuần tới.,ta chờ mong ngươi cuối tuần tới chơi .
818,I feel I am the happiest person in the world.,我觉得自己是世界上最幸福的人了。,Wǒ juédé zìjǐ shì shìjiè shàng zuì xìngfú de rénle.,Tôi nghĩ rằng tôi là người hạnh phúc nhất trên thế giới.,ta nghĩ tự mình là trên thế giới người hạnh phúc nhất .
