id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
2409,争论,zhēng lùn,"to argue, to debate, to contend, argument, contention, controversy, debate",tranh luận,5,议会开会的第一天，新政府中的一位部长就和反对党的一位议员争论起来。,yìhuì kāihuì de dìyī tiān xīn zhèngfǔ zhòngdì yī wèi bùzhǎng jiù hé fǎnduìdǎng de yī wèi yìyuán zhēnglùn qilai,A minister in the new government crossed swords with a member of the Opposition on the first day after Parliament opened.,"nghị hội họp ngày thứ nhất , chính phủ mới bên trong một vị bộ trưởng thì và đảng đối lập một vị nghị sĩ tranh luận lên ."
2410,争取,zhēng qǔ,"to fight for, to strive for, to win over",tranh thủ,5,工会为争取更好的工作条件而罢工。,gōnghuì wéi zhēngqǔ gèng hǎo de gōngzuò tiáojiàn ér bàgōng,The union struck for better work conditions.,công hội là tranh thủ tốt hơn công việc điều kiện mà bãi công .
2411,征求,zhēng qiú,"to solicit, to seek, to request (opinions, feedback etc), to petition",trưng cầu,5,我征求这位老师的意见。,wǒ zhēngqiú zhèwèi lǎoshī de yìjiàn,I asked the teacher for her advice.,ta trưng cầu vị này thầy y thấy .
2412,整个,zhěng gè,"whole, entire, total",tất cả,5,整个工作只需要半个小时。,zhěnggè gōngzuò zhǐ xūyào bànge xiǎoshí,The whole job only takes half an hour.,tất cả công việc chỉ cần muốn nửa cái giờ .
2413,整体,zhěng tǐ,"whole entity, entire body, synthesis, as a whole (situation, construction, team etc), global, macrocosm, integral, holistic, whole",chỉnh thể,5,四个四分之一可构成一个整体.,sì gè sìfēnzhīyī kě gòuchéng yī gè zhěngtǐ,Four quarters make a whole.,bốn một phần tư có thể cấu thành một cái chỉnh thể .
2414,正,zhèng,"just (right), main, upright, straight, correct, positive, greater than zero, principle",chính,5,他正在开会。,tā zhèngzài kāihuì,He is in conference.,hắn đang họp .
2415,政策,zhèng cè,policy,chính sách,5,政府坚持自己的政策。,zhèngfǔ jiānchí zìjǐ de zhèngcè,The government stood pat in its policy.,chính phủ kiên trì tự mình chính sách .
2416,政府,zhèng fǔ,government,chính phủ,5,政府坚持自己的政策。,zhèngfǔ jiānchí zìjǐ de zhèngcè,The government stood pat in its policy.,chính phủ kiên trì tự mình chính sách .
2417,政治,zhèng zhì,"politics, political",chính trị,5,她处理政治问题的方法很科学。,tā chǔlǐ zhèngzhì wèntí de fāngfǎ hěn kēxué,She has a very scientific method of dealing with political problems.,nàng xử lý chính trị vấn đề phương pháp vô cùng khoa học .
2418,证件,zhèng jiàn,"paperwork, credentials",giấy chứng nhận,5,那项要求很有意思，可是你有证件加以证明吗？,nà xiàng yāoqiú hěn yǒuyìsi kěshì nǐ yǒu zhèngjiàn jiāyǐ zhèngmíng ma,"That's a very interesting claim, but can you document it?","vậy hạng yêu cầu rất có ý nghĩa , nhưng ngươi có giấy chứng nhận tiến hành chứng minh không ?"
2419,证据,zhèng jù,"evidence, proof, testimony",bằng chứng,5,仔细检查了废墟後发现了新的证据.,zǐxì jiǎnchá le fèixū hòu fāxiàn le xīn de zhèngjù,Careful examination of the ruins revealed new evidence.,cẩn thận kiểm tra phế tích sau phát hiện mới bằng chứng .
2420,挣钱,zhèng qián,to make money,kiếm tiền,5,能挣钱并不一定是衡量人生幸福的可靠标准.,néng zhèngqián bìngbù yīdìng shì héngliáng rénshēng xìngfú de kěkào biāozhǔn,Success in making money is not always a good criterion of success in life.,có thể kiếm tiền cũng không nhất định là cân nhắc nhân sinh hạnh phúc tin cậy tiêu chuẩn .
2421,支,zhī,"to support, to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions",chi,5,我们深深感谢你的支持。,wǒmen shēnshēn gǎnxiè nǐ de zhīchí,We are deeply grateful for your support.,chúng ta thật sâu cảm ơn ủng hộ của ngươi .
2422,支票,zhī piào,"check (bank), cheque",chi phiếu,5,不要忘记在支票上写上日期.,bùyào wàngjì zài zhīpiào shàng xiě shàng rìqī,Don't forget to date your cheque.,không nên quên đang chi phiếu lên viết lên ngày .
2423,直,zhí,"straight, to straighten, fair and reasonable, frank, straightforward, (indicates continuing motion or action), vertical, vertical downward stroke in Chinese characters",thẳng,5,那顿饭简直好极了。,nà dùn fàn jiǎnzhí hǎo jíle,That meal was simply divine!,bữa cơm kia quả thực tốt lắm .
2424,执行,zhí xíng,"to implement, to carry out, to execute, to run",chấp hành,5,我开始执行计划。,wǒ kāishǐ zhíxíng jìhuà,I set a project afoot.,ta bắt đầu chấp hành kế hoạch .
2425,执照,zhí zhào,"a license, a permit",giấy phép,5,这个司机的驾驶执照被警察吊销了。,zhège sījī de jiàshǐzhízhào bèi jǐngchá diàoxiāo le,The driver's certificate was suspended by the police.,cái này bác tài bằng lái xe bị cảnh sát treo .
2426,指导,zhǐ dǎo,"to guide, to give directions, to direct, to coach, guidance, tuition",chỉ đạo,5,他在我的指导下做这件事.,tā zài wǒ de zhǐdǎo xià zuò zhè jiàn shì,He did the work under my direction.,hắn ở đây ta chỉ đạo hạ làm chuyện này .
2427,指挥,zhǐ huī,"to conduct, to command, to direct, conductor (of an orchestra)",chỉ huy,5,她在国内第一流指挥家中名列榜首.,tā zài guónèi dìyīliú zhǐhuījiā zhōng míngliè bǎngshǒu,She ranks foremost among the country's leading conductors.,nàng ở trong nước hạng nhất nhạc trưởng trong danh liệt báng đầu .
2428,制定,zhì dìng,"to draw up, to formulate",chế định,5,国会制定法律，总统执行法律。,guóhuì zhìdìng fǎlǜ zǒngtǒng zhíxíng fǎlǜ,Congress makes the laws; the President executes them.,"quốc hội chế định pháp luật , tổng thống chấp hành pháp luật ."
2429,制度,zhì dù,"system (e.g. political, adminstrative etc), institution",chế độ,5,新制度已对生产力造成了灾难性的影响。,xīn zhìdù yǐ duì shēngchǎnlì zào chéngle zāinànxìng de yǐngxiǎng,The new system has had a disastrous effect on productivity.,tân chế độ đã đối nhau sinh lực tạo thành tai nạn tính ảnh hưởng .
2430,制作,zhì zuò,"to make, to manufacture",chế tác,5,原始人用尖石块和兽骨为自己制作原始的工具。,yuánshǐ rén yòng jiān shíkuài hé shòu gǔ wéi zìjǐ zhìzuò yuánshǐ de gōngjù,Primitive man made himself primitive tools from sharp stones and animal bones.,người nguyên thủy dùng đá nhọn đồng và xương thú là tự mình chế tác nguyên thủy công cụ .
2431,智慧,zhì huì,"wisdom, knowledge, intelligent, intelligence",trí tuệ,5,头大是不是表示智慧高？,tóudà shìbùshì biǎoshì zhìhuì gāo,Is a large head indicative of high intelligence?,nhức đầu có phải là tỏ vẻ trí tuệ cao ?
2432,至今,zhì jīn,"so far, to this day, until now",đến nay,5,她的秘密至今仍未透露。,tā de mìmì zhìjīn réng wèi tòulù,Her secret remains untold by now.,bí mật của nàng đến nay vẫn chưa lộ ra .
2433,至于,zhì yú,"as for, as to, to go so far as to",về phần,5,常去教堂的英国人更喜欢严格的布教者，因为他认为一些深刻的真理不至于伤害他的邻居。,cháng qù jiàotáng de Yīngguórén gèng xǐhuan yángé de bù jiāo zhě yīnwèi tā rènwéi yīxiē shēnkè de zhēnlǐ bùzhìyú shānghài tā de línjū,The british churchgoer prefer a severe preacher because he think a few home truth with do his neighbour no harm.,"thường đi giáo đường người Anh thích hơn nghiêm khắc bố giáo người , bởi vì hắn nhận là một ít khắc sâu chân lý không đến mức làm hại hàng xóm của hắn ."
2434,治疗,zhì liáo,"to treat, to cure, medical treatment, cure",chữa trị,5,科学家仍在寻求治疗感冒的方法。,kēxuéjiā réng zài xúnqiú zhìliáo gǎnmào de fāngfǎ,Scientists are still searching for a cure to the common cold.,nhà khoa học còn tại tìm kiếm chữa trị cảm mạo phương pháp .
2435,志愿者,zhì yuàn zhě,volunteer,tình nguyện viên,5,,,,
2436,秩序,zhì xù,"order (orderly), order (sequence), social order, the state (of society)",trật tự,5,主席敲击桌子以维持秩序。,zhǔxí qiāojī zhuōzi yǐ wéichí zhìxù,The chairman rapped on the table for order.,chủ tịch đánh cái bàn dùng duy trì trật tự .
2437,钟,zhōng,"clock, o'clock, time as measured in hours and minutes, bell",chuông,5,我的表慢五分钟。,wǒ de biǎo màn wǔ fēnzhōng,My watch is five minutes slow.,ta biểu chậm năm phần chuông .
2438,中介,zhōng jiè,"to act as intermediary, to link, intermediate, inter-, agency, agent",môi giới,5,,,,
2439,中心,zhōng xīn,"center, heart, core",trung tâm,5,"劳驾, 买去市中心的两张全票和两张半票.",láojià mǎi qù shìzhōngxīn de liǎng zhāng quánpiào hé liǎng zhāng bànpiào,"Two and two halves to the city centre, please.","làm phiền , mua đi trung tâm chợ hai tấm toàn bộ phiếu và hai tấm nửa vé ."
2440,中旬,zhōng xún,middle third of a month,trung tuần,5,我想要到十月中旬。,wǒ xiǎngyào dào Shíyuè zhōngxún,"By the middle of October, I think.",ta muốn đến trung tuần tháng mười .
2441,重,zhòng,"heavy, serious, to attach importance to",nặng,5,我们必须重新开始。,wǒmen bìxū chóngxīnkāishǐ,We must make a new start.,chúng ta nhất định phải lại bắt đầu lại từ đầu .
2442,重量,zhòng liàng,weight,trọng lượng,5,这辆卡车最大载重量是一吨。,zhè liàng kǎchē zuì dà zàizhòngliàng shì yī dūn,The maximum load for this lorry is one ton.,chiếc này xe tải lớn nhất tải trọng lượng là một tấn .
2443,周到,zhōu dao,"thoughtful, considerate, attentive, thorough",chu đáo,5,希尔先生和夫人招待客人真周到.,Xī'ěr xiānsheng hé fūren zhāodài kèrén zhēn zhōudào,Mr and Mrs Hill are such good hosts.,hi ngươi tiên sinh và phu nhân chiêu đãi khách trọ thật chu đáo .
2444,逐步,zhú bù,"progressively, step by step",từng bước,5,他将被逐步提升。,tā jiāng bèi zhúbù tíshēng,He will be promoted step by step.,hắn đem bị từng bước tăng lên .
2445,竹子,zhú zi,bamboo,cây trúc,5,竹子是中空的。,zhúzi shì zhōngkōng de,Bamboo is hollow.,cây trúc là trong trống không .
2446,煮,zhǔ,"to cook, to boil",nấu,5,把被单好好煮一煮，好让它们白一些。,bǎ bèidān hǎohǎo zhǔ yī zhǔ hǎo ràng tāmen bái yīxiē,Give the sheets a good boil to get them white.,"đem cái chăn hảo hảo nấu một chút , hảo để nó nhóm bạch một ít ."
2447,主持,zhǔ chí,"to take charge of, to manage or direct, to preside over, to uphold, to stand for (justice etc), to host (a TV or radio program etc)",chủ trì,5,他主持修建这座桥的建筑工程。,tā zhǔchí xiūjiàn zhè zuò qiáo de jiànzhù gōngchéng,He directed the building of the new bridge.,hắn chủ trì tu kiến cây cầu kia kiến trúc công trình .
2448,主观,zhǔ guān,subjective,chủ quan,5,印象主义一种文学风格，其特征是利用对细节和感情的描述而不是通过对客观的现实的再创造，来唤起主观的或感觉的印象,yìnxiàngzhǔyì yīzhǒng wénxué fēnggé qí tèzhēng shì lìyòng duì xìjié hé gǎnqíng de miáoshù ér bùshì tōngguò duì kèguān de xiànshí de zài chuàngzào lái huànqǐ zhǔguān de huò gǎnjué de yìnxiàng,A literary style characterized by the use of details and mental associations to evoke subjective and sensory impressions rather than the re-creation of objective reality.,"ấn tượng chủ nghĩa một loại văn học phong cách , đặc thù là sử dụng đối với chi tiết và tình cảm miêu tả mà không phải thông qua đối với khách quan sự thật lại sáng tạo , đến gọi lên chủ quan hoặc cảm giác ấn tượng"
2449,主人,zhǔ rén,"master, host, owner",chủ nhân,5,宴会结束时，我们谢了主人后便回家去了。,yànhuì jiéshù shí wǒmen xiè le zhǔrén hòu biàn huíjiā qù le,"At the end of the party, we thanked our host and went away.","yến hội kết thúc thời gian , chúng ta cám ơn chủ nhân sau liền đi về nhà ."
2450,主席,zhǔ xí,"chairperson, premier, chairman",chủ tịch,5,他们热烈地欢迎主席。,tāmen rèliè dì huānyíng zhǔxí,They gave the chairman a tumultuous welcome.,bọn họ nhiệt liệt chào mừng chủ tịch .
2451,主张,zhǔ zhāng,"to advocate, to stand for, view, position, stand, proposition, viewpoint, assertion",chủ trương,5,她极力主张拼写正确是十分重要的.,tā jílì zhǔzhāng pīnxiě zhèngquè shì shífēn zhòngyào de,She has very pronounced views on the importance of correct spelling.,nàng cực lực chủ trương viết chính xác là vô cùng trọng yếu .
2452,嘱咐,zhǔ fù,"to tell, to exhort, injunction",dặn dò,5,他们嘱咐我去看他。,tāmen zhǔfù wǒ qù kàn tā,I was charged to go and see him.,bọn họ dặn dò ta đi xem hắn .
2453,祝福,zhù fú,"blessings, to wish sb well",chúc phúc,5,大家纷纷向新娘新郎祝福.,dàjiā fēnfēn xiàng xīnniáng xīnláng zhùfú,Good wishes showered (down) on the bride and bridegroom.,mọi người nhao nhao hướng tân nương tân lang chúc phúc .
2454,注册,zhù cè,"to register, to enroll",đăng kí,5,你们公司的海关注册号码是多少？,nǐmen gōngsī de hǎiguān zhùcè hàomǎ shì duōshao,What's your company's registration number in customs?,công ty của các ngươi hải quan đăng kí mã số là bao nhiêu ?
